"protocol","scheme","location","raw_key","aliases","canonical_semantic","value_type","allowed_values","default","repeated","decode_rule","source_class","mihomo_mapping","xray_mapping","sing_box_mapping","other_mapping","current_behavior","status","test_ids","evidence","notes"
"AnyTLS","anytls","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","WHATWG URL percent-decode once; duplicate keys reject; addon underscores normalize to hyphens","post-stable_official_doc","name","unsupported","AnyTLS outbound; duration semantics differ","Sub-Store@0882a522 differential only","accepted from current-main dialect; not in pinned stable URI doc","partial","proxyUri.test.ts:anytls-matrix","local:parseAnyTLS;E1:AnyTLS-URI@96668729;E3:Mihomo@cbd11db",""
"WireGuard","wireguard|wg","structure.userinfo","private-key","","interface_private_key","canonical standard base64 key","exactly 32 decoded bytes with canonical padding","none","n/a","WHATWG URL percent-decode once; query names lowercase and underscores normalize to hyphens","structural_carrier","private-key","structural address[] and peers[]","endpoint with address[] and peers[]","Sub-Store@0882a522 differential only","required and validated before output; a simultaneous query private-key explicitly rejects as ambiguous","complete","proxyUri.test.ts:wireguard-matrix|closed-URI-grammars","local:parseWireGuard;E1:wg8@a9984077;E2:Meta-Docs@ee16d1c;E3:Mihomo@cbd11db;official URI source unknown",""
"WireGuard","wireguard|wg","structure.authority","host","","peer_server","host","domain|IPv4|bracketed IPv6","none","n/a","WHATWG URL percent-decode once; duplicate keys reject; addon underscores normalize to hyphens","structural_carrier","server","structural address[] and peers[]","endpoint with address[] and peers[]","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:wireguard-matrix","local:parseWireGuard;E1:wg8@a9984077;E2:Meta-Docs@ee16d1c;E3:Mihomo@cbd11db;official URI source unknown",""
"WireGuard","wireguard|wg","structure.authority","port","","peer_port","integer","1..65535","51820","n/a","WHATWG URL percent-decode once; duplicate keys reject; addon underscores normalize to hyphens","structural_carrier","port","structural address[] and peers[]","endpoint with address[] and peers[]","Sub-Store@0882a522 differential only","strict explicit value or default 51820","complete","proxyUri.test.ts:port-boundaries","local:parseWireGuard;E1:wg8@a9984077;E2:Meta-Docs@ee16d1c;E3:Mihomo@cbd11db;official URI source unknown",""
"WireGuard","wireguard|wg","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","WHATWG URL percent-decode once; duplicate keys reject; addon underscores normalize to hyphens","structural_carrier","name","structural address[] and peers[]","endpoint with address[] and peers[]","Sub-Store@0882a522 differential only","decoded once","complete","proxyUri.test.ts:wireguard-matrix","local:parseWireGuard;E1:wg8@a9984077;E2:Meta-Docs@ee16d1c;E3:Mihomo@cbd11db;official URI source unknown",""
"WireGuard","wireguard|wg","structure.required-combination","local-address+public-key","","constructible_wireguard_peer","pair","at least one valid local address and one valid peer public key","none","n/a","WHATWG URL percent-decode once; query names lowercase and underscores normalize to hyphens","structural_carrier","ip/ipv6 + public-key","structural address[] and peers[]","endpoint with address[] and peers[]","Sub-Store@0882a522 differential only","both components are required and validated before output","complete","proxyUri.test.ts:wireguard-matrix|QUIC-URI-hardening-TUIC-v5-and-WireGuard-flat-dialect","local:parseWireGuard;E1:wg8@a9984077;E2:Meta-Docs@ee16d1c;E3:Mihomo@cbd11db;official URI source unknown","flat one-peer URI dialect remains intentionally narrower than current structured peers[] configuration"
"SOCKS5","socks|socks5","structure.userinfo","username","","username","string","RFC1929 1..255 bytes when present","empty","n/a","WHATWG URL percent-decode once","structural_carrier","username","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","plain username is preserved whenever an explicit authority password delimiter is present","complete","proxyUri.test.ts:parses-socks5|QUIC-URI-hardening-Snell-SOCKS-HTTP-S-and-AnyTLS","local:parseSocks;E1:RFC1928/RFC1929;E3:Mihomo@cbd11db;official URI source unknown",""
"SOCKS5","socks|socks5","structure.userinfo","password","","password","string","RFC1929 1..255 bytes when present","empty","n/a","WHATWG URL percent-decode once","structural_carrier","password","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","explicit password takes precedence over the username-only Base64 shorthand, including an explicit empty password","complete","proxyUri.test.ts:parses-socks5|QUIC-URI-hardening-Snell-SOCKS-HTTP-S-and-AnyTLS","local:parseSocks;E1:RFC1928/RFC1929;E3:Mihomo@cbd11db;official URI source unknown",""
"SOCKS5","socks|socks5","structure.userinfo","base64-username","","packed_credentials_extension","base64 UTF-8","username-only value whose decoded form contains a colon","absent","n/a","WHATWG URL percent-decode once, then Base64-decode only without an explicit password delimiter","ecosystem_extension","username + password","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","retained only as a username-only shorthand and cannot override explicit authority credentials","complete","proxyUri.test.ts:parses-socks5|QUIC-URI-hardening-Snell-SOCKS-HTTP-S-and-AnyTLS","local:parseSocks;E1:RFC1928/RFC1929;E3:Mihomo@cbd11db;official URI source unknown",""
"SOCKS5","socks|socks5","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","WHATWG URL percent-decode once","structural_carrier","server","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","required","complete","proxyUri.test.ts:parses-socks5","local:parseSocks;E1:RFC1928/RFC1929;E3:Mihomo@cbd11db;official URI source unknown",""
"SOCKS5","socks|socks5","structure.authority","port","","server_port","integer","1..65535","none","n/a","WHATWG URL percent-decode once","structural_carrier","port","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","strict decimal range","complete","proxyUri.test.ts:port-boundaries","local:parseSocks;E1:RFC1928/RFC1929;E3:Mihomo@cbd11db;official URI source unknown",""
"SOCKS5","socks|socks5","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","WHATWG URL percent-decode once","structural_carrier","name","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","decoded once","complete","proxyUri.test.ts:parses-socks5","local:parseSocks;E1:RFC1928/RFC1929;E3:Mihomo@cbd11db;official URI source unknown",""
"SOCKS5","socks|socks5","structure.path","path","","unused_path","string","any","n/a","forbidden","WHATWG URL percent-decode once","structural_carrier","none","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","every explicit path including the root slash rejects before output","explicit_reject","proxyUri.test.ts:closed-URI-grammars","local:parseSocks;E1:RFC1928/RFC1929;E3:Mihomo@cbd11db;official URI source unknown",""
"SOCKS5","socks|socks5","structure.query","query","","unused_query","query","any","n/a","forbidden","WHATWG URL percent-decode once","structural_carrier","none","SOCKS5 outbound","SOCKS 4/4a/5 outbound","unknown","every explicit query delimiter rejects before output","explicit_reject","proxyUri.test.ts:closed-URI-grammars","local:parseSocks;E1:RFC1928/RFC1929;E3:Mihomo@cbd11db;official URI source unknown",""
"HTTP","http|https","structure.userinfo","username","","username","string","any","empty","n/a","WHATWG URL normalization and percent-decode once","structural_carrier","username","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","decoded once","complete","proxyUri.test.ts:parses-http","local:parseHttp;E1:RFC9110;E3:Mihomo@cbd11db;proxy URI convention not standardized",""
"HTTP","http|https","structure.userinfo","password","","password","string","any","empty","n/a","WHATWG URL normalization and percent-decode once","structural_carrier","password","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","decoded once","complete","proxyUri.test.ts:parses-http","local:parseHttp;E1:RFC9110;E3:Mihomo@cbd11db;proxy URI convention not standardized",""
"HTTP","http|https","structure.authority","host","","server_host","host","domain|IPv4|bracketed IPv6","none","n/a","WHATWG URL normalization and percent-decode once","structural_carrier","server","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","required","complete","proxyUri.test.ts:parses-http","local:parseHttp;E1:RFC9110;E3:Mihomo@cbd11db;proxy URI convention not standardized",""
"HTTP","http|https","structure.authority","explicit-port","","server_port","integer","1..65535 and syntactically explicit","none","n/a","raw authority inspection preserves an explicitly written default port; WHATWG URL decodes credentials","structural_carrier","port","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","requires an explicit authority port and preserves explicit 80/443","complete","proxyUri.test.ts:parses-http|QUIC-URI-hardening-Snell-SOCKS-HTTP-S-and-AnyTLS","local:parseHttp;E1:RFC9110;E3:Mihomo@cbd11db;proxy URI convention not standardized",""
"HTTP","http|https","structure.path","path","","proxy_request_path","string","empty only","empty","n/a","raw suffix inspected before WHATWG URL normalization","structural_carrier","none","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","every slash path, including an explicit root slash, explicitly rejects","explicit_reject","proxyUri.test.ts:rejects-http-path|QUIC-URI-hardening-Snell-SOCKS-HTTP-S-and-AnyTLS","local:parseHttp;E1:RFC9110;E3:Mihomo@cbd11db;proxy URI convention not standardized",""
"HTTP","http|https","structure.query","query","","ambiguous_origin_query","query","sni|allowInsecure|insecure","empty","n/a","raw suffix inspected before WHATWG URL normalization","structural_carrier","none","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","closed query allowlist sni|allowInsecure|insecure: on https they map to sni and skip-cert-verify, on plain http they configure nothing and are ignored; unknown keys still reject","complete","proxyUri.test.ts:https-query-tls-options","local:parseHttp;E1:RFC9110;E3:Mihomo@cbd11db;proxy URI convention not standardized","decision changed 2026-07-18 from any-query reject: free-share https lists carry sni/allowInsecure on every link"
"HTTP","http|https","structure.fragment","fragment","","display_name","percent-encoded string","any","host:port","n/a","WHATWG URL normalization and percent-decode once","structural_carrier","name","HTTP outbound plus stream TLS","HTTP outbound plus TLS object","unknown","decoded once","complete","proxyUri.test.ts:parses-http","local:parseHttp;E1:RFC9110;E3:Mihomo@cbd11db;proxy URI convention not standardized",""
"Shadowsocks","ss","query","udp","","udp_relay","boolean-string","0|false|1|true","true","exact duplicates reject","manual query percent-decode once; literal plus preserved; duplicate keys reject","ecosystem_extension","udp","unknown","unknown","Sub-Store@0882a522 differential only","0/false disables; positive uses default true","complete","proxyUri.test.ts:ss-supported-flags","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","tfo","","tcp_fast_open","boolean-string","0|1|false|true","false","exact duplicates reject","manual query percent-decode once","target_extension","tfo","unknown","unknown","Sub-Store@0882a522 differential only","strict closed boolean grammar maps to a YAML boolean","complete","proxyUri.test.ts:ss-supported-flags|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","uot","udp-over-tcp","udp_over_tcp","boolean-string","0|1|false|true","false","alias collision and exact duplicates reject","manual query percent-decode once","ecosystem_extension","udp-over-tcp","unknown","unknown","Sub-Store@0882a522 differential only","either spelling maps a strict boolean; simultaneous aliases reject","complete","proxyUri.test.ts:ss-supported-flags|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","security","","outer_security_wrapper","enum","none only","none","exact duplicates reject","manual query percent-decode once","ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","none is a validated intentional omission; every active wrapper value explicitly rejects","complete","proxyUri.test.ts:ss-wrapper-rejection|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","sni","peer","tls_server_name","unsupported string","top-level SS TLS wrapper is unrepresentable","n/a","alias collision and every occurrence reject","manual query percent-decode once","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every occurrence explicitly rejects instead of degrading to direct Shadowsocks","explicit_reject","proxyUri.test.ts:ss-wrapper-rejection|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","alpn","","tls_alpn","unsupported list","top-level SS TLS wrapper is unrepresentable","n/a","every occurrence rejects","manual query percent-decode once","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every occurrence explicitly rejects instead of degrading to direct Shadowsocks","explicit_reject","proxyUri.test.ts:ss-wrapper-rejection|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","allowInsecure","insecure","certificate_verification_policy","unsupported boolean","top-level SS TLS wrapper is unrepresentable","n/a","alias collision and every occurrence reject","manual query percent-decode once","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every occurrence explicitly rejects instead of changing certificate semantics","explicit_reject","proxyUri.test.ts:ss-wrapper-rejection|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","fp","","tls_client_fingerprint","unsupported string","top-level SS TLS wrapper is unrepresentable","n/a","every occurrence rejects","manual query percent-decode once","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every occurrence explicitly rejects instead of degrading to direct Shadowsocks","explicit_reject","proxyUri.test.ts:ss-wrapper-rejection|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","pbk","","reality_public_key","unsupported key","top-level SS Reality wrapper is unrepresentable","n/a","every occurrence rejects","manual query percent-decode once","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every occurrence explicitly rejects instead of losing Reality security","explicit_reject","proxyUri.test.ts:ss-wrapper-rejection|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","sid","","reality_short_id","unsupported key","top-level SS Reality wrapper is unrepresentable","n/a","every occurrence rejects","manual query percent-decode once","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every occurrence explicitly rejects instead of losing Reality security","explicit_reject","proxyUri.test.ts:ss-wrapper-rejection|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","type","","outer_transport","enum","ws|h2|grpc|httpupgrade|other","absent","exact duplicates reject","manual query percent-decode once; literal plus preserved; duplicate keys reject","ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","any occurrence rejects; Mihomo SS has no top-level transport","explicit_reject","proxyUri.test.ts:ss-wrapper-rejection","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","path","wspath","transport_path","unsupported string","top-level SS transport is unrepresentable; use a supported plugin argument","n/a","alias collision and every occurrence reject","manual query percent-decode once; duplicate keys reject","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every top-level occurrence explicitly rejects; supported plugin paths remain nested plugin parameters","explicit_reject","proxyUri.test.ts:closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","host","","transport_host","unsupported string","top-level SS transport is unrepresentable; use a supported plugin argument","n/a","every occurrence rejects","manual query percent-decode once; duplicate keys reject","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every top-level occurrence explicitly rejects; supported plugin hosts remain nested plugin parameters","explicit_reject","proxyUri.test.ts:closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","serviceName","","grpc_service_name","unsupported string","top-level SS gRPC transport is unrepresentable","n/a","every occurrence rejects","manual query percent-decode once; duplicate keys reject","unrepresentable_ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","every top-level occurrence explicitly rejects instead of degrading to direct Shadowsocks","explicit_reject","proxyUri.test.ts:closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","ws","","legacy_websocket_enable","boolean-string","0|1|false|true","false","exact duplicates reject","manual query percent-decode once","ecosystem_extension","none","unknown","unknown","Sub-Store@0882a522 differential only","strict false is a validated intentional omission; strict true explicitly rejects as unrepresentable","complete","proxyUri.test.ts:ss-wrapper-rejection|closed-URI-grammars","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","plugin","","SIP003_plugin_argument","escaped string","bounded obfs, v2ray-plugin WebSocket, or shadow-tls family with closed options","absent","exact duplicates reject","manual query percent-decode once then escape-aware SIP003 parsing","official_standard","plugin + plugin-opts","unknown","unknown","Sub-Store@0882a522 differential only","supported families map exactly; unknown, malformed, duplicate-option, or unrepresentable values reject","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","query","shadow-tls","","shadowrocket_shadow_tls_payload","base64 JSON object","host required; optional password/version/address/port","absent","exact duplicates reject","manual query percent-decode once; literal plus preserved; duplicate keys reject","ecosystem_extension","plugin: shadow-tls + plugin-opts","unknown","unknown","Sub-Store@0882a522 differential only","strict decode and validation; maps endpoint override","complete","proxyUri.test.ts:shadow-tls-payload","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.simple-obfs","obfs","mode","plugin_obfs_mode","enum","http|tls","none","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.mode","unknown","unknown","Sub-Store@0882a522 differential only","first supported spelling wins","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.simple-obfs","obfs-host","host","plugin_obfs_host","string","any","plugin default","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.host","unknown","unknown","Sub-Store@0882a522 differential only","copied","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.v2ray-plugin","mode","","plugin_transport_mode","enum","websocket","websocket","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.mode","unknown","unknown","Sub-Store@0882a522 differential only","non-websocket explicitly rejects","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.v2ray-plugin","tls","","plugin_tls_enable","bare flag","present","false","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.tls","unknown","unknown","Sub-Store@0882a522 differential only","presence emits true","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.v2ray-plugin","host","","plugin_host","string","any","plugin default","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.host","unknown","unknown","Sub-Store@0882a522 differential only","copied","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.v2ray-plugin","path","","plugin_path","string","any","/","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.path","unknown","unknown","Sub-Store@0882a522 differential only","SIP003 escapes preserved","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.v2ray-plugin","mux","","plugin_mux","integer-string","0|1; other concurrency unrepresentable","plugin true","duplicate option rejects","top query percent-decode once; escape-aware SIP003 grammar","official_plugin_or_named_extension","plugin-opts.mux","unknown","unknown","Sub-Store@0882a522 differential only","0 maps false; 1 maps true; every other value explicitly rejects","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.shadow-tls","host","","shadow_tls_host","string","non-empty","none","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.host","unknown","unknown","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.shadow-tls","password","","shadow_tls_password","string","any","empty","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.password","unknown","unknown","Sub-Store@0882a522 differential only","copied when present","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.plugin.shadow-tls","version","","shadow_tls_version","integer","1|2|3","target default 2","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.version","unknown","unknown","Sub-Store@0882a522 differential only","strict enum","complete","proxyUri.test.ts:ss-plugin-obfs-and-fail-closed-plugin-mapping","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.shadow-tls-json","host","","shadow_tls_host","string","non-empty","none","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.host","unknown","unknown","Sub-Store@0882a522 differential only","required","complete","proxyUri.test.ts:shadow-tls-payload","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.shadow-tls-json","password","","shadow_tls_password","string","any","empty","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.password","unknown","unknown","Sub-Store@0882a522 differential only","copied when non-empty","complete","proxyUri.test.ts:shadow-tls-payload","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.shadow-tls-json","version","","shadow_tls_version","integer|string","1|2|3","target default 2","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","plugin-opts.version","unknown","unknown","Sub-Store@0882a522 differential only","strict enum","complete","proxyUri.test.ts:shadow-tls-payload","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.shadow-tls-json","address","","shadow_tls_server_override","string","non-empty","original server","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","server","unknown","unknown","Sub-Store@0882a522 differential only","copied when non-empty","complete","proxyUri.test.ts:shadow-tls-payload","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"Shadowsocks","ss","nested.shadow-tls-json","port","","shadow_tls_port_override","integer|string","1..65535","original port","exact duplicates reject","top query percent-decode once; SIP003 backslash grammar or canonical base64 JSON as indicated","official_plugin_or_named_extension","port","unknown","unknown","Sub-Store@0882a522 differential only","strict decimal range","complete","proxyUri.test.ts:shadow-tls-payload","local:parseSS;E1:SIP002/SIP003@34598d65;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","query","remarks","","display_name","base64url UTF-8","valid canonical base64","host:port","exact duplicates reject","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","archived_ecosystem_grammar","name","unsupported","unsupported","Sub-Store@0882a522 differential only","valid maps; present-invalid rejects","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","query","obfsparam","","obfs_parameter","base64url UTF-8","valid canonical base64","empty","exact duplicates reject","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","archived_ecosystem_grammar","obfs-param","unsupported","unsupported","Sub-Store@0882a522 differential only","valid maps; present-invalid rejects","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","query","protoparam","","protocol_parameter","base64url UTF-8","valid canonical base64","empty","exact duplicates reject","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","archived_ecosystem_grammar","protocol-param","unsupported","unsupported","Sub-Store@0882a522 differential only","valid maps; present-invalid rejects","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","query","group","","client_group_metadata","base64url UTF-8","valid canonical base64","empty","exact duplicates reject","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","archived_ecosystem_grammar","none","unsupported","unsupported","Sub-Store@0882a522 differential only","validated intentional metadata omission; fixed Mihomo SSR has no group field","complete","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db","validated intentional omission; not a silent drop"
"ShadowsocksR","ssr","query","udpport","","alternate_udp_port","integer-string","empty|1..65535","empty","exact duplicates reject","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","archived_ecosystem_grammar","none","unsupported","unsupported","Sub-Store@0882a522 differential only","non-empty explicitly rejects as target gap","explicit_reject","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"ShadowsocksR","ssr","query","uot","","udp_over_tcp","boolean-string","empty|0|1","empty","exact duplicates reject","outer canonical base64 UTF-8; manual query percent-decode; nested canonical base64 UTF-8","archived_ecosystem_grammar","none","unsupported","unsupported","Sub-Store@0882a522 differential only","non-empty explicitly rejects as target gap","explicit_reject","proxyUri.test.ts:parses-ssr-and-strict-field-decoding","local:parseSSR;E5:SSR-wiki@415486e9;E3:Mihomo@cbd11db",""
"VMess","vmess","json","v","","share_schema_version","string","2","none","forbidden duplicate JSON key","outer canonical base64 UTF-8 then strict JSON; field types validated before normalization","legacy_ecosystem_format","none","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","requires schema value 2 then performs a validated intentional metadata omission","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db","validated intentional omission; not a silent drop"
"VMess","vmess","json","ps","","display_name","string","any","server:port","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","name","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","copied","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
"VMess","vmess","json","add","","server_host","string","non-empty","none","duplicate JSON keys reject","outer canonical base64 UTF-8 then strict JSON parse; field types validated before normalization","legacy_ecosystem_format","server","VMess outbound; exact share mapping unknown","VMess outbound; exact share mapping unknown","v2ray-core@59950bd0 legacy alterId behavior","strict string and required","complete","proxyUri.test.ts:parses-vmess-and-legacy-JSON-strict-mapping","local:parseVMess;E5:v2rayN@1e98189a;E3:Mihomo@cbd11db",""
